"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Labour productivity and related measures by business sector industry and by non-commercial activity consistent with the industry accounts, inactive","36100480","383-0033","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610048001",1;2,"ARCHIVED -  a cube publicly available but no longer being updated","Annual","1997-01-01","2024-01-01","3",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Labour productivity and related measures",,""
"3","Industry",15,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Canada","[11124]","1","","",88,
"1","Newfoundland and Labrador","[10]","2","1","",,
"1","Prince Edward Island","[11]","3","1","",,
"1","Nova Scotia","[12]","4","1","",,
"1","New Brunswick","[13]","5","1","",,
"1","Quebec","[24]","6","1","",,
"1","Ontario","[35]","7","1","",,
"1","Manitoba","[46]","8","1","",,
"1","Saskatchewan","[47]","9","1","",,
"1","Alberta","[48]","10","1","",,
"1","British Columbia","[59]","11","1","",,
"1","Yukon","[60]","12","1","",,
"1","Northwest Territories including Nunavut","","13","1","",3,
"1","Northwest Territories","[61]","14","1","",3,
"1","Nunavut","[62]","15","1","",3,
"2","Total number of jobs","","1","","",4,
"2","Hours worked for all jobs","","2","","",5,
"2","Annual average number of hours worked for all jobs","","3","","",6,
"2","Total compensation for all jobs","","4","","",7,
"2","Nominal value added","","5","","",8,
"2","Real value added","","6","","",9,
"2","Labour productivity","","7","","",10,
"2","Total compensation per hour worked","","8","","",11,
"2","Unit labour cost","","9","","",12,
"2","Unit labour cost in US dollars","","10","","",13,
"2","Labour share","","11","","",14,
"3","All industries","","1","","",16,
"3","All industries (except owner occupied dwellings)","","323","1","",89,
"3","Business sector industries","","2","323","",17,
"3","Goods-producing businesses","","3","2","",18,
"3","Agriculture, forestry, fishing and hunting","[BS11]","4","3","",19,
"3","Crop and animal production","[BS11A]","5","4","",20,
"3","Crop production","[BS111]","6","5","",,
"3","Greenhouse, nursery and floriculture production","[BS1114]","7","6","",90,
"3","Crop production (except greenhouse, nursery and floriculture production)","[BS111A]","8","6","",21,
"3","Animal production","[BS112]","9","5","",,
"3","Aquaculture","[BS1125]","10","9","",,
"3","Animal production (except aquaculture)","[BS112A]","11","9","",22,
"3","Forestry and logging","[BS113]","12","4","",,
"3","Fishing, hunting and trapping","[BS114]","13","4","",,
"3","Support activities for agriculture and forestry","[BS115]","14","4","",,
"3","Support activities for forestry","[BS1153]","15","14","",,
"3","Support activities for crop and animal production","[BS115A]","16","14","",23,
"3","Mining and oil and gas extraction","[BS21]","17","3","",,
"3","Oil and gas extraction","[BS211]","18","17","",,
"3","Conventional oil and gas extraction","[BS211113]","19","18","",,
"3","Non-conventional oil extraction","[BS211114]","20","18","",,
"3","Mining and quarrying (except oil and gas)","[BS212]","21","17","",,
"3","Coal mining","[BS2121]","22","21","",,
"3","Metal ore mining","[BS2122]","23","21","",,
"3","Iron ore mining","[BS21221]","24","23","",,
"3","Gold and silver ore mining","[BS21222]","25","23","",,
"3","Copper, nickel, lead and zinc ore mining","[BS21223]","26","23","",,
"3","Other metal ore mining","[BS21229]","27","23","",,
"3","Non-metallic mineral mining and quarrying","[BS2123]","28","21","",,
"3","Stone mining and quarrying","[BS21231]","29","28","",,
"3","Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying","[BS21232]","30","28","",,
"3","Diamond mining","[BS212392]","31","28","",,
"3","Potash mining","[BS212396]","32","28","",,
"3","Other non-metallic mineral mining and quarrying (except diamond and potash)","[BS21239A]","33","28","",24,
"3","Support activities for mining and oil and gas extraction","[BS213]","34","17","",,
"3","Support activities for oil and gas extraction","[BS21311A]","35","34","",25,
"3","Support activities for mining","[BS21311B]","36","34","",26,
"3","Utilities","[BS22]","37","3","",,
"3","Electric power generation, transmission and distribution","[BS2211]","38","37","",,
"3","Natural gas distribution, water, sewage and other systems","[BS221A]","39","37","",27,
"3","Natural gas distribution","[BS2212]","40","39","",,
"3","Water, sewage and other systems","[BS2213]","41","39","",,
"3","Construction","[BS23]","42","3","",,
"3","Residential building construction","[BS23A]","43","42","",28,
"3","Non-residential building construction","[BS23B]","44","42","",28,
"3","Engineering construction","[BS23C]","45","42","",28,
"3","Transportation engineering construction","[BS23C1]","46","45","",28,
"3","Oil and gas engineering construction","[BS23C2]","47","45","",28,
"3","Electric power engineering construction","[BS23C3]","48","45","",28,
"3","Communication engineering construction","[BS23C4]","49","45","",28,
"3","Other engineering construction","[BS23C5]","50","45","",28,
"3","Repair construction","[BS23D]","51","42","",28,
"3","Other activities of the construction industry","[BS23E]","52","42","",28,
"3","Manufacturing","[BS3A]","53","3","",29,
"3","Food manufacturing","[BS311]","54","53","",,
"3","Animal food manufacturing","[BS3111]","55","54","",,
"3","Sugar and confectionery product manufacturing","[BS3113]","56","54","",,
"3","Fruit and vegetable preserving and specialty food manufacturing","[BS3114]","57","54","",,
"3","Dairy product manufacturing","[BS3115]","58","54","",,
"3","Meat product manufacturing","[BS3116]","59","54","",,
"3","Seafood product preparation and packaging","[BS3117]","60","54","",,
"3","Miscellaneous food manufacturing","[BS311A]","61","54","",30,
"3","Grain and oilseed milling","[BS3112]","62","61","",,
"3","Bakeries and tortilla manufacturing","[BS3118]","63","61","",,
"3","Other food manufacturing","[BS3119]","64","61","",,
"3","Beverage and tobacco product manufacturing","[BS312]","65","53","",,
"3","Soft drink and ice manufacturing","[BS31211]","66","65","",,
"3","Breweries","[BS31212]","67","65","",,
"3","Wineries and distilleries","[BS3121A]","68","65","",31,
"3","Tobacco manufacturing","[BS3122]","69","65","",,
"3","Textile and textile product mills","[BS31A]","70","53","",32,
"3","Clothing and leather and allied product manufacturing","[BS31B]","71","53","",33,
"3","Wood product manufacturing","[BS321]","72","53","",,
"3","Sawmills and wood preservation","[BS3211]","73","72","",,
"3","Veneer, plywood and engineered wood product manufacturing","[BS3212]","74","72","",,
"3","Other wood product manufacturing","[BS3219]","75","72","",,
"3","Paper manufacturing","[BS322]","76","53","",,
"3","Pulp, paper and paperboard mills","[BS3221]","77","76","",,
"3","Converted paper product manufacturing","[BS3222]","78","76","",,
"3","Printing and related support activities","[BS323]","79","53","",,
"3","Petroleum and coal product manufacturing","[BS324]","80","53","",,
"3","Petroleum refineries","[BS32411]","81","80","",,
"3","Petroleum and coal products manufacturing (except petroleum refineries)","[BS3241A]","82","80","",34,
"3","Chemical manufacturing","[BS325]","83","53","",,
"3","Basic chemical manufacturing","[BS3251]","84","83","",,
"3","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing","[BS3252]","85","83","",,
"3","Pesticide, fertilizer and other agricultural chemical manufacturing","[BS3253]","86","83","",,
"3","Pharmaceutical and medicine manufacturing","[BS3254]","87","83","",,
"3","Miscellaneous chemical product manufacturing","[BS325A]","88","83","",35,
"3","Paint, coating and adhesive manufacturing","[BS3255]","89","88","",,
"3","Soap, cleaning compound and toilet preparation manufacturing","[BS3256]","90","88","",,
"3","Other chemical product manufacturing","[BS3259]","91","88","",,
"3","Plastics and rubber products manufacturing","[BS326]","92","53","",,
"3","Plastic product manufacturing","[BS3261]","93","92","",,
"3","Rubber product manufacturing","[BS3262]","94","92","",,
"3","Non-metallic mineral product manufacturing","[BS327]","95","53","",,
"3","Cement and concrete product manufacturing","[BS3273]","96","95","",,
"3","Non-metallic mineral product manufacturing (except cement and concrete products)","[BS327A]","97","95","",36,
"3","Primary metal manufacturing","[BS331]","98","53","",,
"3","Iron and steel mills and ferro-alloy manufacturing","[BS3311]","99","98","",,
"3","Steel product manufacturing from purchased steel","[BS3312]","100","98","",,
"3","Alumina and aluminum production and processing","[BS3313]","101","98","",,
"3","Non-ferrous metal (except aluminum) production and processing","[BS3314]","102","98","",,
"3","Foundries","[BS3315]","103","98","",,
"3","Fabricated metal product manufacturing","[BS332]","104","53","",,
"3","Forging and stamping","[BS3321]","105","104","",,
"3","Architectural and structural metals manufacturing","[BS3323]","106","104","",,
"3","Boiler, tank and shipping container manufacturing","[BS3324]","107","104","",,
"3","Hardware manufacturing","[BS3325]","108","104","",,
"3","Spring and wire product manufacturing","[BS3326]","109","104","",,
"3","Machine shops, turned product, and screw, nut and bolt manufacturing","[BS3327]","110","104","",,
"3","Coating, engraving, heat treating and allied activities","[BS3328]","111","104","",,
"3","Cutlery, hand tools and other fabricated metal product manufacturing","[BS332A]","112","104","",37,
"3","Machinery manufacturing","[BS333]","113","53","",,
"3","Agricultural, construction and mining machinery manufacturing","[BS3331]","114","113","",,
"3","Industrial, commercial and service industry machinery manufacturing","[BS333A]","115","113","",38,
"3","Industrial machinery manufacturing","[BS3332]","116","115","",,
